,closeMid,complete,highMid,lowMid,openMid,time,volume
0,0.9485,True,0.95066,0.94375,0.95021,2005-01-01T22:00:00.000000Z,311
1,0.95066,True,0.95726,0.94366,0.94841,2005-01-02T22:00:00.000000Z,43404
2,0.953605,True,0.95717,0.94809,0.95057,2005-01-03T22:00:00.000000Z,62163
3,0.953335,True,0.95717,0.95097,0.953515,2005-01-04T22:00:00.000000Z,64033
4,0.951155,True,0.95726,0.94755,0.953335,2005-01-05T22:00:00.000000Z,61294
5,0.961815,True,0.96362,0.94746,0.951155,2005-01-06T22:00:00.000000Z,56849
6,0.96025,True,0.96255,0.96025,0.96237,2005-01-08T22:00:00.000000Z,221
7,0.96679,True,0.96988,0.95992,0.96043,2005-01-09T22:00:00.000000Z,51423
8,0.970635,True,0.97186,0.96242,0.966695,2005-01-10T22:00:00.000000Z,59675
9,0.972055,True,0.97584,0.96708,0.97045,2005-01-11T22:00:00.000000Z,58210
10,0.974325,True,0.97728,0.97016,0.972055,2005-01-12T22:00:00.000000Z,57175
11,0.96899,True,0.97862,0.96772,0.974325,2005-01-13T22:00:00.000000Z,67314
12,0.97003,True,0.97068,0.96946,0.97012,2005-01-15T22:00:00.000000Z,316
13,0.971865,True,0.97319,0.96843,0.97003,2005-01-16T22:00:00.000000Z,32599
14,0.969695,True,0.97432,0.96492,0.97196,2005-01-17T22:00:00.000000Z,59266
15,0.96595,True,0.97115,0.96214,0.969795,2005-01-18T22:00:00.000000Z,59403
16,0.96418,True,0.96886,0.96232,0.96595,2005-01-19T22:00:00.000000Z,61971
17,0.97003,True,0.97499,0.96418,0.96418,2005-01-20T22:00:00.000000Z,56180
18,0.97012,True,0.97012,0.97003,0.97012,2005-01-21T22:00:00.000000Z,9
19,0.97078,True,0.97106,0.96927,0.96927,2005-01-22T22:00:00.000000Z,216
20,0.965765,True,0.97281,0.96502,0.970685,2005-01-23T22:00:00.000000Z,50540
21,0.965205,True,0.97064,0.95772,0.965765,2005-01-24T22:00:00.000000Z,60911
22,0.96075,True,0.96735,0.95762,0.965205,2005-01-25T22:00:00.000000Z,60826
23,0.9568,True,0.96084,0.95488,0.96048,2005-01-26T22:00:00.000000Z,60892
24,0.95776,True,0.95854,0.95374,0.95671,2005-01-27T22:00:00.000000Z,53792
25,0.95795,True,0.95804,0.95795,0.95795,2005-01-28T22:00:00.000000Z,3
26,0.95804,True,0.95877,0.95758,0.95877,2005-01-29T22:00:00.000000Z,222
27,0.95882,True,0.96186,0.95552,0.95804,2005-01-30T22:00:00.000000Z,57526
28,0.96316,True,0.96604,0.95707,0.95882,2005-01-31T22:00:00.000000Z,55157
29,0.96344,True,0.96735,0.95928,0.962975,2005-02-01T22:00:00.000000Z,55935
30,0.968755,True,0.9696,0.96214,0.963345,2005-02-02T22:00:00.000000Z,55983
31,0.96937,True,0.97139,0.96325,0.968665,2005-02-03T22:00:00.000000Z,57990
32,0.96974,True,0.96974,0.96918,0.96946,2005-02-04T22:00:00.000000Z,191
33,0.97003,True,0.97059,0.96909,0.96937,2005-02-05T22:00:00.000000Z,516
34,0.97561,True,0.97589,0.9659,0.97003,2005-02-06T22:00:00.000000Z,55367
35,0.980105,True,0.98058,0.9721,0.97561,2005-02-07T22:00:00.000000Z,53573
36,0.97523,True,0.9801,0.9721,0.980105,2005-02-08T22:00:00.000000Z,51104
37,0.97276,True,0.97685,0.97097,0.97532,2005-02-09T22:00:00.000000Z,55844
38,0.97934,True,0.97982,0.97125,0.97267,2005-02-10T22:00:00.000000Z,45170
39,0.97934,True,0.97934,0.97934,0.97934,2005-02-11T22:00:00.000000Z,2
40,0.97828,True,0.97905,0.97762,0.97857,2005-02-12T22:00:00.000000Z,150
41,0.971585,True,0.97972,0.96886,0.97809,2005-02-13T22:00:00.000000Z,52117
42,0.966975,True,0.97319,0.9639,0.971585,2005-02-14T22:00:00.000000Z,56311
43,0.95992,True,0.96876,0.9568,0.966975,2005-02-15T22:00:00.000000Z,64191
44,0.9626,True,0.96539,0.95707,0.95965,2005-02-16T22:00:00.000000Z,56748
45,0.96071,True,0.96529,0.95983,0.9626,2005-02-17T22:00:00.000000Z,47582
46,0.9608,True,0.9608,0.9608,0.9608,2005-02-18T22:00:00.000000Z,1
47,0.96228,True,0.96237,0.96025,0.96089,2005-02-19T22:00:00.000000Z,430
48,0.95845,True,0.96334,0.95698,0.96228,2005-02-20T22:00:00.000000Z,32334
49,0.945405,True,0.95946,0.9429,0.95845,2005-02-21T22:00:00.000000Z,68576
50,0.93445,True,0.94845,0.93331,0.945315,2005-02-22T22:00:00.000000Z,66498
51,0.94371,True,0.94379,0.93045,0.93436,2005-02-23T22:00:00.000000Z,71407
52,0.93817,True,0.94513,0.93743,0.94371,2005-02-24T22:00:00.000000Z,58873
53,0.93756,True,0.93897,0.93738,0.93835,2005-02-26T22:00:00.000000Z,129
54,0.94246,True,0.94486,0.93633,0.93765,2005-02-27T22:00:00.000000Z,56614
55,0.938835,True,0.9462,0.93699,0.94255,2005-02-28T22:00:00.000000Z,61962
56,0.947105,True,0.94854,0.93822,0.93875,2005-03-01T22:00:00.000000Z,61533
57,0.949355,True,0.94998,0.94362,0.947105,2005-03-02T22:00:00.000000Z,57547
58,0.94985,True,0.95179,0.94728,0.949355,2005-03-03T22:00:00.000000Z,53945
59,0.94976,True,0.94976,0.94976,0.94976,2005-03-04T22:00:00.000000Z,1
60,0.94913,True,0.94985,0.9485,0.94985,2005-03-05T22:00:00.000000Z,175
61,0.95552,True,0.95744,0.94805,0.94922,2005-03-06T22:00:00.000000Z,49214
62,0.95772,True,0.959,0.95206,0.95552,2005-03-07T22:00:00.000000Z,57355
63,0.96011,True,0.96511,0.95671,0.95781,2005-03-08T22:00:00.000000Z,61300
64,0.957625,True,0.96288,0.9568,0.96011,2005-03-09T22:00:00.000000Z,67182
65,0.95338,True,0.96131,0.9526,0.957625,2005-03-10T22:00:00.000000Z,53010
66,0.953475,True,0.95347,0.95338,0.95338,2005-03-11T22:00:00.000000Z,2
67,0.953925,True,0.95474,0.95347,0.953475,2005-03-12T22:00:00.000000Z,209
68,0.96048,True,0.96316,0.95366,0.953925,2005-03-13T22:00:00.000000Z,54013
69,0.96544,True,0.96913,0.95937,0.96048,2005-03-14T22:00:00.000000Z,55619
70,0.95671,True,0.96656,0.95588,0.96534,2005-03-15T22:00:00.000000Z,58342
71,0.962975,True,0.96474,0.9547,0.95671,2005-03-16T22:00:00.000000Z,56079
72,0.96768,True,0.97026,0.96195,0.962975,2005-03-17T22:00:00.000000Z,53178
73,0.96749,True,0.96852,0.96712,0.967585,2005-03-19T22:00:00.000000Z,468
74,0.973,True,0.9747,0.96716,0.96749,2005-03-20T22:00:00.000000Z,58807
75,0.98275,True,0.98624,0.97196,0.973,2005-03-21T22:00:00.000000Z,61346
76,0.984205,True,0.9877,0.98044,0.98275,2005-03-22T22:00:00.000000Z,67401
77,0.989855,True,0.99005,0.98054,0.984105,2005-03-23T22:00:00.000000Z,56712
78,0.984935,True,0.98995,0.98444,0.989855,2005-03-24T22:00:00.000000Z,12528
79,0.984445,True,0.98494,0.98444,0.984735,2005-03-26T22:00:00.000000Z,199
80,0.987945,True,0.98961,0.98396,0.984445,2005-03-27T22:00:00.000000Z,40225
81,0.9929,True,0.99438,0.98498,0.987945,2005-03-28T22:00:00.000000Z,58736
82,0.98634,True,0.99319,0.98063,0.993,2005-03-29T22:00:00.000000Z,60957
83,0.988385,True,0.98965,0.98169,0.98634,2005-03-30T22:00:00.000000Z,58324
84,0.99039,True,0.9929,0.9842,0.988385,2005-03-31T22:00:00.000000Z,59005
85,0.99118,True,0.99128,0.98971,0.98971,2005-04-02T22:00:00.000000Z,123
86,0.990005,True,0.99324,0.98789,0.99118,2005-04-03T21:00:00.000000Z,50188
