Date,Open,High,Low,Close,Volume
2002-05-06 21:00:00,0.91535,0.91535,0.91535,0.91535,1
2002-05-07 21:00:00,0.90435,0.90435,0.90435,0.90435,1
2002-05-08 21:00:00,0.90935,0.90935,0.90935,0.90935,1
2002-05-09 21:00:00,0.914,0.914,0.914,0.914,1
2002-05-10 21:00:00,0.9141,0.9141,0.9141,0.9141,1
2002-05-12 21:00:00,0.91155,0.91155,0.91155,0.91155,1
2002-05-13 21:00:00,0.90275,0.90275,0.90275,0.90275,1
2002-05-14 21:00:00,0.91255,0.91255,0.91255,0.91255,1
2002-05-15 21:00:00,0.91195,0.91195,0.91195,0.91195,1
2002-05-16 21:00:00,0.9209,0.9209,0.9209,0.9209,1
2002-05-18 21:00:00,0.9201,0.9201,0.9201,0.9201,1
2002-05-19 21:00:00,0.92095,0.92095,0.92095,0.92095,1
2002-05-20 21:00:00,0.91985,0.91985,0.91985,0.91985,1
2002-05-21 21:00:00,0.92575,0.92575,0.92575,0.92575,1
2002-05-22 21:00:00,0.92145,0.92145,0.92145,0.92145,1
2002-05-23 21:00:00,0.921,0.921,0.921,0.921,1
2002-05-24 21:00:00,0.9211,0.9211,0.9211,0.9211,1
2002-05-26 21:00:00,0.9209,0.9209,0.9209,0.9209,1
2002-05-27 21:00:00,0.92875,0.92875,0.92875,0.92875,1
2002-05-28 21:00:00,0.93545,0.93545,0.93545,0.93545,1
2002-05-29 21:00:00,0.93705,0.93705,0.93705,0.93705,1
2002-05-30 21:00:00,0.9339,0.9339,0.9339,0.9339,1
2002-06-01 21:00:00,0.9329,0.9329,0.9329,0.9329,1
2002-06-02 21:00:00,0.94105,0.94105,0.94105,0.94105,1
2002-06-03 21:00:00,0.93935,0.93935,0.93935,0.93935,1
2002-06-04 21:00:00,0.93935,0.93935,0.93935,0.93935,1
2002-06-05 21:00:00,0.94765,0.94765,0.94765,0.94765,1
2002-06-06 21:00:00,0.944,0.944,0.944,0.944,1
2002-06-08 21:00:00,0.9432,0.9432,0.9432,0.9432,1
2002-06-09 21:00:00,0.94455,0.94455,0.94455,0.94455,1
2002-06-10 21:00:00,0.94825,0.94825,0.94825,0.94825,1
2002-06-11 21:00:00,0.94395,0.94395,0.94395,0.94395,1
2002-06-12 21:00:00,0.94345,0.94345,0.94345,0.94345,1
2002-06-13 21:00:00,0.9456,0.9456,0.9456,0.9456,1
2002-06-15 21:00:00,0.9453,0.9453,0.9453,0.9453,1
2002-06-16 21:00:00,0.94445,0.94445,0.94445,0.94445,1
2002-06-17 21:00:00,0.95185,0.95185,0.95185,0.95185,1
2002-06-18 21:00:00,0.95745,0.95745,0.95745,0.95745,1
2002-06-19 21:00:00,0.965,0.965,0.965,0.965,1
2002-06-20 21:00:00,0.9711,0.9711,0.9711,0.9711,1
2002-06-21 21:00:00,0.9706,0.9706,0.9706,0.9706,1
2002-06-23 21:00:00,0.97045,0.97045,0.97045,0.97045,1
2002-06-24 21:00:00,0.97935,0.97935,0.97935,0.97935,1
